Sample,Left gene,Left chromosome,Left coordinates,Right gene,Right chromosome,Right coordinates,Spanning reads,Spanning mate pairs
S3,LINC02246,chr21,14853273,NRIP1,chr21,15043573,4,3
M2,LINC02246,chr21,14853273,NRIP1,chr21,15043573,5,8
M3,LINC02246,chr21,14853273,NRIP1,chr21,15043573,10,4
C2,LINC02246,chr21,14853273,NRIP1,chr21,15043573,6,5
S1,LINC02246,chr21,14857541,NRIP1,chr21,15043573,3,21
M2,LINC02246,chr21,14857541,NRIP1,chr21,15043573,4,8
S1,AKR1E2,chr10,4830674,AKR1C6P,chr10,4908419,4,7
S1,AKR1E2,chr10,4830674,AKR1C6P,chr10,4909605,13,7
S3,AKR1E2,chr10,4830674,AKR1C6P,chr10,4908419,3,5
S3,AKR1E2,chr10,4830674,AKR1C6P,chr10,4909605,5,5
M3,AKR1E2,chr10,4830674,AKR1C6P,chr10,4908419,4,2
M3,AKR1E2,chr10,4830674,AKR1C6P,chr10,4909605,9,2
S1,AKR1C6P,chr10,4908350,AKR1C2,chr10,4933329,6,7
M3,AKR1C6P,chr10,4908350,AKR1C2,chr10,4933329,4,3
S2,SNHG23,chr14,100949595,MEG8,chr14,100935771,32,237
S1,SNHG23,chr14,100949595,MEG8,chr14,100935771,14,71
S3,SNHG23,chr14,100949595,MEG8,chr14,100935771,5,57
M2,SNHG23,chr14,100949595,MEG8,chr14,100935771,8,91
M3,SNHG23,chr14,100949595,MEG8,chr14,100935771,5,45
C2,SNHG23,chr14,100949595,MEG8,chr14,100935771,9,97
S2,PKD2L2,chr5,137941943,FAM13B,chr5,137943215,15,454
S2,PKD2L2,chr5,137941943,FAM13B,chr5,137949183,16,371
S1,PKD2L2,chr5,137941943,FAM13B,chr5,137943215,7,68
C2,PKD2L2,chr5,137941943,FAM13B,chr5,137943215,3,55
S1,B2M,chr15,44715422,TGFB1,chr19,41351201,9,3
M2,B2M,chr15,44715422,TGFB1,chr19,41351201,7,11
C2,B2M,chr15,44715422,TGFB1,chr19,41351201,14,21
M2,KIF2A,chr5,62306535,B2M,chr15,44715422,3,3
S1,GRK5,chr10,119207968,RGS10,chr10,119527423,5,4
M2,GRK5,chr10,119207968,RGS10,chr10,119527423,3,3
S1,KANSL1,chr17,46094557,ARL17A,chr17,46352927,44,30
S1,KANSL1,chr17,46094557,ARL17A,chr17,46570866,44,30
C2,KANSL1,chr17,46094557,ARL17A,chr17,46352927,6,6
C2,KANSL1,chr17,46094557,ARL17A,chr17,46570866,6,6
S3,KANSL1,chr17,46094559,ARL17A,chr17,46352929,3,9
S3,KANSL1,chr17,46094559,ARL17A,chr17,46570868,3,8
M3,KANSL1,chr17,46094559,ARL17A,chr17,46352929,10,7
M3,KANSL1,chr17,46094559,ARL17A,chr17,46570868,10,7
S2,CXXC4-AS1,chr4,104653826,RP11-556I14.2,chr4,104699649,15,3
S1,CXXC4-AS1,chr4,104653826,RP11-556I14.2,chr4,104699649,13,5
S1,CXXC4-AS1,chr4,104653826,RP11-556I14.2,chr4,104701062,12,5
S1,CXXC4-AS1,chr4,104653826,RP11-556I14.2,chr4,104701076,3,5
S1,CXXC4-AS1,chr4,104653826,RP11-556I14.2,chr4,104746679,7,9
S1,CXXC4-AS1,chr4,104653826,RP11-556I14.2,chr4,104895804,4,5
M2,CXXC4-AS1,chr4,104653826,RP11-556I14.2,chr4,104699649,7,13
M2,CXXC4-AS1,chr4,104653826,RP11-556I14.2,chr4,104701062,11,13
S2,LAMA2,chr6,129502604,RP1-69D17.4,chr6,129540541,3,3
S3,ZNF664-RFLNA,chr12,123973885,TGFB1,chr19,41351201,4,3
C2,ZNF664-RFLNA,chr12,123973885,TGFB1,chr19,41351201,7,5
S1,FKBP1B,chr2,24060813,SF3B6,chr2,24068770,5,42
S1,FKBP1B,chr2,24060813,SF3B6,chr2,24068790,4,42
S3,COX20,chr1,244843134,RP11-11N7.5,chr1,244848855,6,10
S2,ANKAR,chr2,189728659,OSGEPL1,chr2,189755319,17,12
S1,ANKAR,chr2,189728659,OSGEPL1,chr2,189755319,9,31
M2,ANKAR,chr2,189728659,OSGEPL1,chr2,189755319,3,14
M3,ANKAR,chr2,189728659,OSGEPL1,chr2,189755319,6,15
C2,ANKAR,chr2,189728659,OSGEPL1,chr2,189755319,12,18
S2,MAP3K13,chr3,185483303,TMEM41A,chr3,185490082,11,51
C2,MAP3K13,chr3,185483304,TMEM41A,chr3,185490083,4,20
M2,CRTC3,chr15,90619737,CRTC3-AS1,chr15,90629528,6,4
S2,FBXO30-DT,chr6,145864386,SHPRH,chr6,145894975,23,4
S1,FBXO30-DT,chr6,145864386,SHPRH,chr6,145894975,29,13
M2,FBXO30-DT,chr6,145864386,SHPRH,chr6,145894975,7,2
M3,FBXO30-DT,chr6,145864386,SHPRH,chr6,145894975,6,3
C2,FBXO30-DT,chr6,145864386,SHPRH,chr6,145894975,21,2
S1,FBXO30-DT,chr6,145864387,SHPRH,chr6,145894971,3,13
S1,FBXO30-DT,chr6,145883908,SHPRH,chr6,145894976,7,132
S2,RP11-182J1.12,chr15,84526780,UBE2Q2P1,chr15,84555069,6,3
S1,RP11-467L19.14,chr15,20661959,NBEAP1,chr15,20671267,7,6
S1,SUZ12P1,chr17,30734896,CRLF3,chr17,30784891,11,9
S1,CCDC66,chr3,56620354,TASOR,chr3,56628613,4,183
M3,CCDC66,chr3,56620354,TASOR,chr3,56628613,4,72
C2,DOK6,chr18,69842283,CD226,chr18,69878814,3,47
S1,AC024704.2,chr2,113830851,ACTR3-AS1,chr2,113831584,3,9
M3,FNTB,chr14,65004248,MAX,chr14,65015715,5,2
M3,KLHDC2,chr14,49771592,NEMF,chr14,49782592,4,12
S1,KLHDC2,chr14,49771593,NEMF,chr14,49782593,6,21
S2,KLHDC2,chr14,49779594,NEMF,chr14,49782456,6,125
C2,TGFB1,chr19,41351201,ARL6IP6,chr2,152720532,5,6
S1,RP11-22P4.1,chr11,28362035,METTL15,chr11,28296796,6,7
C2,RP11-22P4.1,chr11,28362035,METTL15,chr11,28296796,3,3
S1,AP000442.1,chr11,59620412,PATL1,chr11,59639518,8,4
S3,CTD-2192J16.17,chr19,12517744,ZNF564,chr19,12528695,5,41
S2,CTD-2192J16.17,chr19,12524795,ZNF564,chr19,12528695,8,150
S1,CTD-2192J16.17,chr19,12524795,ZNF564,chr19,12528695,3,73
C2,CTD-2192J16.17,chr19,12524795,ZNF564,chr19,12528695,4,66
S2,EIF3J,chr15,44554552,SPG11,chr15,44563224,7,150
S2,THCAT158,chr17,47323377,EFCAB13,chr17,47345097,34,100
S1,THCAT158,chr17,47323377,EFCAB13,chr17,47345097,18,258
C2,THCAT158,chr17,47323377,EFCAB13,chr17,47345097,7,147
S2,PLAAT1,chr3,193262969,ATP13A5,chr3,193281241,5,21
S1,PLAAT1,chr3,193262969,ATP13A5,chr3,193281241,8,9
C2,CATSPER3,chr5,134970089,PCBD2,chr5,134910332,7,2
M3,HELQ,chr4,83448782,ABRAXAS1,chr4,83469150,3,6
S1,PWARSN,chr15,24982436,SNURF,chr15,24979535,6,30
M2,PWARSN,chr15,24982436,SNURF,chr15,24979535,4,16
S1,RP11-867O8.5,chr11,65367771,SLC25A45,chr11,65375336,10,10
C2,RP11-867O8.5,chr11,65367771,SLC25A45,chr11,65375336,11,5
S1,RP11-867O8.5,chr11,65367774,SLC25A45,chr11,65375336,32,10
S3,RP11-867O8.5,chr11,65367774,SLC25A45,chr11,65375336,9,5
M2,RP11-867O8.5,chr11,65367774,SLC25A45,chr11,65375336,12,13
M3,RP11-867O8.5,chr11,65367774,SLC25A45,chr11,65375336,9,13
S2,TULP4,chr6,158314267,RP11-732M18.4,chr6,158312050,19,34
S1,LOC101927178,chr14,35085392,PPP2R3C,chr14,35099383,7,28
S1,CEP68,chr2,65082224,RAB1A,chr2,65089069,3,138
S2,LOC101927668,chr7,20129130,MACC1,chr7,20141157,8,4
C2,TBC1D3B,chr17,36182523,CCL3L1,chr17,36195911,3,6
C2,YIF1B,chr19,38309642,TGFB1,chr19,41351201,4,4
S1,DDB2,chr11,47238798,ACP2,chr11,47239917,3,11
M3,DDB2,chr11,47238798,ACP2,chr11,47239917,3,3
C1,GS1-114I9.3,chr7,30367940,ZNRF2,chr7,30367642,3,112
M1,ACOT13,chr6,24704924,C6orf62,chr6,24705515,4,190
M3,CARNMT1-AS1,chr9,74980375,CARNMT1,chr9,74999869,3,2
S1,PAXBP1-AS1,chr21,32737251,PAXBP1,chr21,32759266,3,8
S1,AP4B1-AS1,chr1,113901234,AP4B1,chr1,113901883,3,13
SA2,ADCY7,chr16,50318027,BRD7,chr16,50318582,4,46
SA2,USP8,chr15,50499601,USP50,chr15,50500887,3,32
