Cluster,ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
hsa-let-7c-5p,CC,GO:0031258,lamellipodium membrane,4/229,22/20820,0.1818,16.5304,7.6858,1e-04,0.0013,9e-04,CD44/CFL1/ITGB3/NCKAP1,4
hsa-let-7c-5p,MF,GO:0005536,D-glucose binding,2/229,11/20820,0.1818,16.5304,5.4333,0.0062,0.0353,0.0245,SLC2A3/UGP2,2
hsa-let-7c-5p,MF,GO:0010854,adenylate cyclase regulator activity,2/229,11/20820,0.1818,16.5304,5.4333,0.0062,0.0353,0.0245,CALM1/GNAS,2
hsa-let-7c-5p,BP,GO:0010986,positive regulation of lipoprotein particle clearance,2/229,11/20820,0.1818,16.5304,5.4333,0.0062,0.0353,0.0245,GPLD1/ANXA2,2
hsa-let-7c-5p,BP,GO:0015871,choline transport,2/229,11/20820,0.1818,16.5304,5.4333,0.0062,0.0353,0.0245,SLC44A1/SLC44A2,2
hsa-let-7c-5p,BP,GO:0016479,negative regulation of transcription by RNA polymerase I,2/229,11/20820,0.1818,16.5304,5.4333,0.0062,0.0353,0.0245,DDX21/FLNA,2
hsa-let-7c-5p,BP,GO:0051386,regulation of neurotrophin TRK receptor signaling pathway,2/229,11/20820,0.1818,16.5304,5.4333,0.0062,0.0353,0.0245,AGT/CYFIP1,2
hsa-let-7c-5p,CC,GO:0060187,cell pole,2/229,11/20820,0.1818,16.5304,5.4333,0.0062,0.0353,0.0245,RAB8B/RDX,2
hsa-let-7c-5p,BP,GO:0070934,CRD-mediated mRNA stabilization,2/229,11/20820,0.1818,16.5304,5.4333,0.0062,0.0353,0.0245,HNRNPD/IGF2BP3,2
hsa-let-7c-5p,MF,GO:0140031,phosphorylation-dependent protein binding,2/229,11/20820,0.1818,16.5304,5.4333,0.0062,0.0353,0.0245,LYN/YWHAG,2
hsa-let-7c-5p,BP,GO:1990034,calcium ion export across plasma membrane,2/229,11/20820,0.1818,16.5304,5.4333,0.0062,0.0353,0.0245,CALM1/YWHAE,2
hsa-let-7c-5p,BP,GO:2000508,regulation of dendritic cell chemotaxis,2/229,11/20820,0.1818,16.5304,5.4333,0.0062,0.0353,0.0245,C1QBP/CALR,2
hsa-let-7c-5p,BP,GO:2001171,positive regulation of ATP biosynthetic process,2/229,11/20820,0.1818,16.5304,5.4333,0.0062,0.0353,0.0245,ENO1/VCP,2
hsa-let-7c-5p,BP,GO:0006007,glucose catabolic process,5/229,28/20820,0.1786,16.2352,8.5072,0,3e-04,2e-04,PFKP/ENO1/PGK1/PKM/TPI1,5
hsa-let-7c-5p,BP,GO:0002862,negative regulation of inflammatory response to antigenic stimulus,6/229,34/20820,0.1765,16.0442,9.2583,0,1e-04,0,GNAS/LYN/PSMA1/SPN/SRC/SYK,6
hsa-let-7c-5p,CC,GO:0031092,platelet alpha granule membrane,3/229,17/20820,0.1765,16.0442,6.5439,8e-04,0.007,0.0049,CD36/CD9/ITGB3,3
hsa-let-7c-5p,BP,GO:0071380,cellular response to prostaglandin E stimulus,3/229,17/20820,0.1765,16.0442,6.5439,8e-04,0.007,0.0049,ADCY6/GNAS/GNB1,3
hsa-let-7c-5p,BP,GO:1901550,regulation of endothelial cell development,3/229,17/20820,0.1765,16.0442,6.5439,8e-04,0.007,0.0049,F11R/ROCK2/VCL,3
hsa-let-7c-5p,BP,GO:1903140,regulation of establishment of endothelial barrier,3/229,17/20820,0.1765,16.0442,6.5439,8e-04,0.007,0.0049,F11R/ROCK2/VCL,3
hsa-let-7c-5p,MF,GO:0140662,ATP-dependent protein folding chaperone,7/229,40/20820,0.175,15.9105,9.9542,0,0,0,CCT8/HSP90AA1/HSP90AB1/HSP90B1/HSPA8/HSPD1/TRAP1,7
hsa-let-7c-5p,BP,GO:0034314,Arp2/3 complex-mediated actin nucleation,8/229,46/20820,0.1739,15.8117,10.6055,0,0,0,HIP1R/ARPC2/ARPC3/CORO1B/CYFIP1/IQGAP2/NCKAP1/WASF2,8
hsa-let-7c-5p,BP,GO:0002223,stimulatory C-type lectin receptor signaling pathway,4/229,23/20820,0.1739,15.8117,7.4951,1e-04,0.0015,0.001,LYN/PAK2/SRC/SYK,4
hsa-let-7c-5p,BP,GO:1990840,response to lectin,4/229,23/20820,0.1739,15.8117,7.4951,1e-04,0.0015,0.001,LYN/PAK2/SRC/SYK,4
hsa-let-7c-5p,BP,GO:1990858,cellular response to lectin,4/229,23/20820,0.1739,15.8117,7.4951,1e-04,0.0015,0.001,LYN/PAK2/SRC/SYK,4
hsa-let-7c-5p,BP,GO:0034109,homotypic cell-cell adhesion,17/229,101/20820,0.1683,15.3029,15.1953,0,0,0,ACTB/CD9/COMP/F11R/FLNA/GNAS/ILK/ITGB3/LYN/PDIA3/PPIA/RAP2B/RDX/SYK/TLN1/TUBB1/VCL,17
hsa-let-7c-5p,BP,GO:0010640,regulation of platelet-derived growth factor receptor signaling pathway,4/229,24/20820,0.1667,15.1528,7.3159,1e-04,0.0017,0.0012,HIP1R/LRP1/PTPRJ/SRC,4
hsa-let-7c-5p,BP,GO:0002424,T cell mediated immune response to tumor cell,3/229,18/20820,0.1667,15.1528,6.3348,9e-04,0.008,0.0056,HLA-A/HSPD1/YWHAG,3
hsa-let-7c-5p,BP,GO:0002836,positive regulation of response to tumor cell,3/229,18/20820,0.1667,15.1528,6.3348,9e-04,0.008,0.0056,CD226/HSPD1/YWHAG,3
hsa-let-7c-5p,BP,GO:0002839,positive regulation of immune response to tumor cell,3/229,18/20820,0.1667,15.1528,6.3348,9e-04,0.008,0.0056,CD226/HSPD1/YWHAG,3
hsa-let-7c-5p,BP,GO:1901163,regulation of trophoblast cell migration,3/229,18/20820,0.1667,15.1528,6.3348,9e-04,0.008,0.0056,C1QBP/CALR/ITGB3,3
hsa-let-7c-5p,MF,GO:0004859,phospholipase inhibitor activity,2/229,12/20820,0.1667,15.1528,5.1716,0.0074,0.0402,0.0279,ANXA2/ANXA5,2
hsa-let-7c-5p,MF,GO:0010853,cyclase activator activity,2/229,12/20820,0.1667,15.1528,5.1716,0.0074,0.0402,0.0279,CALM1/GNAS,2
hsa-let-7c-5p,MF,GO:0017166,vinculin binding,2/229,12/20820,0.1667,15.1528,5.1716,0.0074,0.0402,0.0279,RTCB/TLN1,2
hsa-let-7c-5p,BP,GO:0034139,regulation of toll-like receptor 3 signaling pathway,2/229,12/20820,0.1667,15.1528,5.1716,0.0074,0.0402,0.0279,FLOT1/SRC,2
hsa-let-7c-5p,BP,GO:0042921,nuclear receptor-mediated glucocorticoid signaling pathway,2/229,12/20820,0.1667,15.1528,5.1716,0.0074,0.0402,0.0279,CALR/YWHAH,2
hsa-let-7c-5p,MF,GO:0043047,single-stranded telomeric DNA binding,2/229,12/20820,0.1667,15.1528,5.1716,0.0074,0.0402,0.0279,HNRNPA2B1/RPA1,2
hsa-let-7c-5p,BP,GO:0043476,pigment accumulation,2/229,12/20820,0.1667,15.1528,5.1716,0.0074,0.0402,0.0279,CD63/SHROOM3,2
hsa-let-7c-5p,BP,GO:0043482,cellular pigment accumulation,2/229,12/20820,0.1667,15.1528,5.1716,0.0074,0.0402,0.0279,CD63/SHROOM3,2
hsa-let-7c-5p,BP,GO:1900152,negative regulation of nuclear-transcribed mRNA catabolic process deadenylation-dependent decay,2/229,12/20820,0.1667,15.1528,5.1716,0.0074,0.0402,0.0279,HNRNPD/TENT4B,2
hsa-let-7c-5p,BP,GO:1903405,protein localization to nuclear body,2/229,12/20820,0.1667,15.1528,5.1716,0.0074,0.0402,0.0279,CCT8/LARP7,2
hsa-let-7c-5p,BP,GO:1904867,protein localization to Cajal body,2/229,12/20820,0.1667,15.1528,5.1716,0.0074,0.0402,0.0279,CCT8/LARP7,2
hsa-let-7c-5p,MF,GO:1990247,N6-methyladenosine-containing RNA reader activity,2/229,12/20820,0.1667,15.1528,5.1716,0.0074,0.0402,0.0279,HNRNPA2B1/IGF2BP3,2
hsa-let-7c-5p,MF,GO:0023023,MHC protein complex binding,6/229,37/20820,0.1622,14.7433,8.8236,0,1e-04,1e-04,ANXA11/HSP90AA1/HSP90AB1/HSPA8/PKM/YWHAE,6
hsa-let-7c-5p,BP,GO:1900024,regulation of substrate adhesion-dependent cell spreading,10/229,62/20820,0.1613,14.664,11.3629,0,0,0,ARPC2/C1QBP/CALR/CIB1/CORO1C/FLNA/ILK/ITGB3/LIMS1/RAC1,10
hsa-let-7c-5p,BP,GO:0034315,regulation of Arp2/3 complex-mediated actin nucleation,5/229,31/20820,0.1613,14.664,8.0288,0,4e-04,3e-04,HIP1R/CORO1B/CYFIP1/NCKAP1/WASF2,5
hsa-let-7c-5p,BP,GO:0030220,platelet formation,4/229,25/20820,0.16,14.5467,7.1472,2e-04,0.0019,0.0013,CIB1/PTPRJ/TUBB1/WDR1,4
hsa-let-7c-5p,BP,GO:0036120,cellular response to platelet-derived growth factor stimulus,4/229,25/20820,0.16,14.5467,7.1472,2e-04,0.0019,0.0013,CORO1B/ITGB3/RDX/SRC,4
hsa-let-7c-5p,BP,GO:0051893,regulation of focal adhesion assembly,10/229,63/20820,0.1587,14.4313,11.2594,0,0,0,CORO1C/LIMS1/PTPRA/PTPRJ/RAC1/RHOA/ROCK2/SRC/TLN1/VCL,10
hsa-let-7c-5p,BP,GO:0090109,regulation of cell-substrate junction assembly,10/229,63/20820,0.1587,14.4313,11.2594,0,0,0,CORO1C/LIMS1/PTPRA/PTPRJ/RAC1/RHOA/ROCK2/SRC/TLN1/VCL,10
hsa-let-7c-5p,BP,GO:0007190,activation of adenylate cyclase activity,3/229,19/20820,0.1579,14.3553,6.1418,0.0011,0.0092,0.0064,CAP1/GNAS/RAF1,3
hsa-let-7c-5p,BP,GO:0045780,positive regulation of bone resorption,3/229,19/20820,0.1579,14.3553,6.1418,0.0011,0.0092,0.0064,ITGB3/SRC/SYK,3
hsa-let-7c-5p,BP,GO:0061450,trophoblast cell migration,3/229,19/20820,0.1579,14.3553,6.1418,0.0011,0.0092,0.0064,C1QBP/CALR/ITGB3,3
hsa-let-7c-5p,BP,GO:2000641,regulation of early endosome to late endosome transport,3/229,19/20820,0.1579,14.3553,6.1418,0.0011,0.0092,0.0064,MSN/RDX/SRC,3
hsa-let-7c-5p,BP,GO:2000811,negative regulation of anoikis,3/229,19/20820,0.1579,14.3553,6.1418,0.0011,0.0092,0.0064,ITGA5/ITGB1/SRC,3
hsa-let-7c-5p,BP,GO:0097581,lamellipodium organization,14/229,91/20820,0.1538,13.9872,13.0935,0,0,0,ARPC2/CAPZB/CD44/CORO1B/CORO1C/CYFIP1/HSP90AA1/ITGB1/NCKAP1/PARVB/RAC1/SRC/VCL/WASF2,14
hsa-let-7c-5p,BP,GO:0048011,neurotrophin TRK receptor signaling pathway,4/229,26/20820,0.1538,13.9872,6.9878,2e-04,0.0022,0.0015,AGT/CYFIP1/RAF1/SRC,4
hsa-let-7c-5p,MF,GO:0005172,vascular endothelial growth factor receptor binding,2/229,13/20820,0.1538,13.9872,4.9396,0.0087,0.0445,0.0309,ITGA5/ITGB3,2
hsa-let-7c-5p,CC,GO:0005662,DNA replication factor A complex,2/229,13/20820,0.1538,13.9872,4.9396,0.0087,0.0445,0.0309,CDC5L/RPA1,2
hsa-let-7c-5p,BP,GO:0006002,fructose 6-phosphate metabolic process,2/229,13/20820,0.1538,13.9872,4.9396,0.0087,0.0445,0.0309,PFKP/GPI,2
hsa-let-7c-5p,MF,GO:0008035,high-density lipoprotein particle binding,2/229,13/20820,0.1538,13.9872,4.9396,0.0087,0.0445,0.0309,CD36/HSPD1,2
hsa-let-7c-5p,BP,GO:0010642,negative regulation of platelet-derived growth factor receptor signaling pathway,2/229,13/20820,0.1538,13.9872,4.9396,0.0087,0.0445,0.0309,LRP1/PTPRJ,2
hsa-let-7c-5p,MF,GO:0030955,potassium ion binding,2/229,13/20820,0.1538,13.9872,4.9396,0.0087,0.0445,0.0309,ATP1A1/PKM,2
hsa-let-7c-5p,BP,GO:0031958,nuclear receptor-mediated corticosteroid signaling pathway,2/229,13/20820,0.1538,13.9872,4.9396,0.0087,0.0445,0.0309,CALR/YWHAH,2
hsa-let-7c-5p,BP,GO:0034111,negative regulation of homotypic cell-cell adhesion,2/229,13/20820,0.1538,13.9872,4.9396,0.0087,0.0445,0.0309,CD9/RDX,2
hsa-let-7c-5p,MF,GO:0035325,Toll-like receptor binding,2/229,13/20820,0.1538,13.9872,4.9396,0.0087,0.0445,0.0309,CD36/SYK,2
hsa-let-7c-5p,BP,GO:0045916,negative regulation of complement activation,2/229,13/20820,0.1538,13.9872,4.9396,0.0087,0.0445,0.0309,CD46/CD55,2
hsa-let-7c-5p,CC,GO:0048188,Set1C/COMPASS complex,2/229,13/20820,0.1538,13.9872,4.9396,0.0087,0.0445,0.0309,WDR5/SETD1A,2
hsa-let-7c-5p,BP,GO:0061684,chaperone-mediated autophagy,2/229,13/20820,0.1538,13.9872,4.9396,0.0087,0.0445,0.0309,HSP90AA1/HSPA8,2
hsa-let-7c-5p,BP,GO:0070486,leukocyte aggregation,2/229,13/20820,0.1538,13.9872,4.9396,0.0087,0.0445,0.0309,CD44/MSN,2
hsa-let-7c-5p,CC,GO:0098890,extrinsic component of postsynaptic membrane,2/229,13/20820,0.1538,13.9872,4.9396,0.0087,0.0445,0.0309,C1QA/C1QC,2
hsa-let-7c-5p,BP,GO:0014850,response to muscle activity,5/229,33/20820,0.1515,13.7753,7.7454,0,5e-04,3e-04,AGT/ATP5F1A/ITGA5/ITGB1/SRD5A1,5
hsa-let-7c-5p,MF,GO:0005544,calcium-dependent phospholipid binding,8/229,53/20820,0.1509,13.7233,9.7805,0,0,0,ANXA11/ANXA2/ANXA5/ANXA6/ANXA7/CPNE1/CPNE2/CPNE3,8
hsa-let-7c-5p,BP,GO:0030168,platelet activation,21/229,140/20820,0.15,13.6376,15.822,0,0,0,ACTB/CD9/COMP/F11R/FCER1G/FLNA/GNAS/GP1BB/ILK/ITGB3/LYN/PDIA3/PPIA/PTPRJ/RAP2B/SRC/SYK/TLN1/TUBB1/VCL/VWF,21
hsa-let-7c-5p,BP,GO:0006734,NADH metabolic process,6/229,40/20820,0.15,13.6376,8.4368,0,1e-04,1e-04,PFKP/ENO1/PGK1/PKM/TPI1/VCP,6
hsa-let-7c-5p,BP,GO:0006958,complement activation classical pathway,6/229,40/20820,0.15,13.6376,8.4368,0,1e-04,1e-04,C1QA/C1QBP/C1QC/C1S/CD46/CD55,6
hsa-let-7c-5p,BP,GO:0010591,regulation of lamellipodium assembly,6/229,40/20820,0.15,13.6376,8.4368,0,1e-04,1e-04,ARPC2/CYFIP1/HSP90AA1/NCKAP1/RAC1/WASF2,6
hsa-let-7c-5p,BP,GO:0051580,regulation of neurotransmitter uptake,3/229,20/20820,0.15,13.6376,5.9629,0.0013,0.0105,0.0073,FLOT1/ITGB1/ITGB3,3
hsa-let-7c-5p,BP,GO:0010543,regulation of platelet activation,8/229,54/20820,0.1481,13.4692,9.6754,0,0,0,CD9/F11R/FCER1G/FLNA/GP1BB/LYN/PTPRJ/SYK,8
hsa-let-7c-5p,BP,GO:0036119,response to platelet-derived growth factor,4/229,27/20820,0.1481,13.4692,6.8371,2e-04,0.0024,0.0017,CORO1B/ITGB3/RDX/SRC,4
hsa-let-7c-5p,BP,GO:0036344,platelet morphogenesis,4/229,27/20820,0.1481,13.4692,6.8371,2e-04,0.0024,0.0017,CIB1/PTPRJ/TUBB1/WDR1,4
